Paquetes rcv,Tiempo instantaneo,Numero de paquete,Altitud BMP,Temperatura BMP ©,Presion mBar,Tension de la bateria V,Longitud,Latitud,Altitud GPS,Satelites GPS,Etapa de vuelo,GPS Hora,GPS Minutos,GPS Segundos,,,,
0,2073,0,2,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.390625,,,, 
1,2073,1,2.359999895,50.21999741,988.6799927,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.5,,,, 
2,2073,2,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.59375,,,, 
3,2073,3,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.703125,,,, 
4,2073,4,1.599999905,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.796875,,,, 
5,2073,5,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,21.921875,,,, 
6,2074,6,2.029999971,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22,,,, 
7,2074,7,1.669999981,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.078125,,,, 
8,2074,8,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.203125,,,, 
9,2074,9,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.296875,,,, 
10,2074,10,2.159999847,50.23999786,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.5,,,, 
11,2074,11,1.799999952,50.25,988.7399902,7.96999979,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.59375,,,, 
12,2074,12,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.703125,,,, 
13,2074,13,2.059999943,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.796875,,,, 
14,2074,14,2,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,22.921875,,,, 
15,2075,15,1.9,50.23999786,988.7299805,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23,,,, 
16,2075,16,2,50.25,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.078125,,,, 
17,2075,17,1.639999962,50.25,988.7599487,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.203125,,,, 
18,2075,18,2.329999924,50.23999786,988.6799927,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.296875,,,, 
19,2075,19,2.129999876,50.23999786,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.390625,,,, 
20,2075,20,1.799999952,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.5,,,, 
21,2075,21,2.230000019,50.22999954,988.6900024,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.59375,,,, 
22,2075,22,1.929999924,50.23999786,988.7299805,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.796875,,,, 
23,2075,23,1.769999981,50.25,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,23.921875,,,, 
24,2076,24,1.769999981,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24,,,, 
25,2076,25,1.959999943,50.23999786,988.7199707,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.078125,,,, 
26,2076,26,2.029999971,50.22999954,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.203125,,,, 
27,2076,27,1.439999962,50.25,988.7799683,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.296875,,,, 
28,2076,28,2.129999876,50.23999786,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.390625,,,, 
29,2076,29,2.159999847,50.22999954,988.6999512,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.5,,,, 
30,2076,30,1.769999981,50.23999786,988.7399902,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.59375,,,, 
31,2076,31,2.029999971,50.23999786,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.703125,,,, 
32,2076,32,2.059999943,50.22999954,988.7099609,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.796875,,,, 
33,2077,33,1.569999933,50.25,988.7699585,7.980000019,9.991522789,-84.65306854,229.2999878,12,33,12,45,24.921875,,,, 
34,2077,34,2.190000057,50.22999954,988.6900024,7.960000038,9.991522789,-84.65306854,229.2999878,12,33,12,45,25.078125,,,, 
35,2077,35,4.639999866,50.23999786,988.4099731,7.96999979,9.991522789,-84.65306854,229.2999878,12,33,12,45,25.203125,,,, 
36,2077,36,11.93999958,50.23999786,987.5499878,7.96999979,9.991522789,-84.65306854,229.2999878,12,33,12,45,25.296875,,,, 
37,2077,37,23.76999855,50.23999786,986.1699829,7.960000038,9.991522789,-84.65306854,229.2999878,12,33,12,45,25.390625,,,, 
38,2077,38,45.31999969,50.22999954,983.6499634,7.96999979,9.991522789,-84.65306854,229.2999878,12,33,12,45,25.5,,,, 
39,2077,39,65.80999756,50.22999954,981.2599487,7.96999979,9.991520882,-84.65309906,229.2999878,12,33,12,45,25.59375,,,, 
40,2077,40,75.80999756,50.22999954,980.0999756,7.96999979,9.991522789,-84.65309906,229.2999878,10,33,12,45,25.703125,,,, 
41,2077,41,88.18000031,50.21999741,978.6599731,7.960000038,9.991522789,-84.65309906,229.3999939,10,33,12,45,25.796875,,,, 
42,2077,42,106.2599945,50.21999741,976.5599976,7.96999979,9.991522789,-84.65309906,229.3999939,9,33,12,45,25.921875,,,, 
43,2078,43,119.159996,50.21999741,975.0599976,7.96999979,9.991522789,-84.65309906,229.3999939,11,33,12,45,26,,,, 
44,2078,44,124.7299957,50.20999908,974.4199829,7.96999979,9.99152565,-84.65309906,229.3999939,11,33,12,45,26.078125,,,, 
45,2078,45,132.7799988,50.20999908,973.4799805,7.96999979,9.991526604,-84.65309906,229.5999908,11,33,12,45,26.203125,,,, 
46,2078,46,138.1299896,50.20999908,972.8699951,7.96999979,9.991528511,-84.65309906,229.8999939,10,33,12,45,26.390625,,,, 
47,2078,47,142.3099976,50.20999908,972.3800049,7.96999979,9.99152565,-84.65309906,230.2999878,10,33,12,45,26.5,,,, 
48,2078,48,148.8600006,50.20999908,971.6199951,7.960000038,9.991526604,-84.65309906,230.5999908,9,33,12,45,26.59375,,,, 
49,2078,49,154.3199921,50.20999908,970.9899902,7.96999979,9.991528511,-84.65309906,231.0999908,9,33,12,45,26.703125,,,, 
50,2078,50,158.3099976,50.20999908,970.5299683,7.96999979,9.991533279,-84.65309906,231.6999969,9,33,12,45,26.796875,,,, 
51,2078,51,165.9100037,50.20999908,969.6599731,7.96999979,9.991535187,-84.65311432,232.0999908,7,33,12,45,26.921875,,,, 
52,2079,52,170,50.20999908,969.1799927,7.96999979,9.991535187,-84.65313721,232.5,7,33,12,45,27,,,, 
53,2079,53,177.3899994,50.21999741,968.3299561,7.960000038,9.99153614,-84.65313721,232.8999939,8,33,12,45,27.078125,,,, 
54,2079,54,184.5699921,50.21999741,967.5,7.96999979,9.991539955,-84.6531601,233.3999939,8,33,12,45,27.203125,,,, 
55,2079,55,188.269989,50.22999954,967.0799561,7.96999979,9.991531372,-84.65316772,233.5,8,33,12,45,27.296875,,,, 
56,2079,56,191.7899933,50.21999741,966.6699829,7.96999979,9.99152565,-84.65319061,233.6999969,8,33,12,45,27.390625,,,, 
57,2079,57,197.5699921,50.21999741,966.0099487,7.96999979,9.991555214,-84.6531601,236.8999939,10,33,12,45,27.5,,,, 
58,2079,58,203.1599884,50.22999954,965.3699951,7.96999979,9.991578102,-84.65313721,240.2999878,10,33,12,45,27.59375,,,, 
59,2079,59,207.6399994,50.22999954,964.8499756,7.96999979,9.991611481,-84.65311432,245.1999969,9,33,12,45,27.796875,,,, 
60,2079,60,211.9499969,50.23999786,964.3599854,7.96999979,9.991617203,-84.65313721,246,8,33,12,45,27.921875,,,, 
61,2080,61,216.5,50.23999786,963.8299561,7.96999979,9.991620064,-84.6531601,246.8999939,8,33,12,45,28,,,, 
62,2080,62,222.5899963,50.23999786,963.1300049,7.96999979,9.991624832,-84.65316772,247.1999969,8,33,12,45,28.078125,,,, 
63,2080,63,227.1100006,50.22999954,962.6199951,7.96999979,9.991629601,-84.65316772,247.8999939,8,33,12,45,28.203125,,,, 
64,2080,64,231.2299957,50.23999786,962.1399536,7.96999979,9.991635323,-84.65319061,248.3999939,8,33,12,45,28.296875,,,, 
65,2080,65,236.8499908,50.21999741,961.5,7.96999979,9.991640091,-84.65319824,248.8999939,8,33,12,45,28.390625,,,, 
66,2080,66,239.0499878,50.22999954,961.25,7.96999979,9.991646767,-84.65319824,249.2999878,8,33,12,45,28.5,,,, 
67,2080,67,244.5599976,50.25,960.6199951,7.96999979,9.991653442,-84.65319824,249.7999878,8,33,12,45,28.59375,,,, 
68,2080,68,249.2200012,50.23999786,960.0799561,7.96999979,9.991662025,-84.65322113,250.0999908,9,33,12,45,28.703125,,,, 
69,2080,69,252.7099915,50.25,959.6799927,7.96999979,9.991668701,-84.65322113,250.5,10,33,12,45,28.796875,,,, 
70,2081,70,255.5800018,50.25,959.3499756,7.96999979,9.991684914,-84.65322113,251.2999878,10,33,12,45,29,,,, 
71,2081,71,259.6999817,50.25,958.8800049,7.96999979,9.991693497,-84.65323639,251.6999969,9,33,12,45,29.078125,,,, 
72,2081,72,264.6000061,50.23999786,958.3200073,7.96999979,9.991701126,-84.65323639,252,9,33,12,45,29.203125,,,, 
73,2081,73,268.9700012,50.25,957.8200073,7.96999979,9.991710663,-84.65323639,252.3999939,9,33,12,45,29.296875,,,, 
74,2081,74,271.25,50.25,957.5599976,7.96999979,9.991719246,-84.65323639,252.6999969,9,33,12,45,29.390625,,,, 
75,2081,75,275.0700073,50.25,957.1300049,7.96999979,9.991729736,-84.65323639,253.1999969,8,33,12,45,29.5,,,, 
76,2081,76,277.9899902,50.25999832,956.789978,7.96999979,9.991740227,-84.65323639,253.6999969,8,33,12,45,29.59375,,,, 
77,2081,77,281.1699829,50.25,956.4299927,7.96999979,9.991751671,-84.65323639,254.0999908,8,33,12,45,29.703125,,,, 
78,2081,78,284.8999939,50.25,956.0099487,7.96999979,9.991761208,-84.65323639,254.5999908,8,33,12,45,29.796875,,,, 
79,2081,79,286.9100037,50.25999832,955.7799683,7.96999979,9.991771698,-84.65323639,255.0999908,9,33,12,45,29.921875,,,, 
80,2082,80,289.5799866,50.25,955.4699707,7.96999979,9.991781235,-84.65323639,255.5999908,9,33,12,45,30,,,, 
81,2082,81,292.9100037,50.25999832,955.0899658,7.96999979,9.991793633,-84.65323639,256,9,33,12,45,30.078125,,,, 
82,2082,82,296.5899963,50.22999954,954.6699829,7.96999979,9.991805077,-84.65323639,256.5,8,33,12,45,30.203125,,,, 
83,2082,83,298.3800049,50.25999832,954.4699707,7.96999979,9.991815567,-84.65323639,256.7999878,9,33,12,45,30.296875,,,, 
84,2082,84,300.8800049,50.25999832,954.1799927,7.96999979,9.991839409,-84.65323639,257.6999817,9,33,12,45,30.5,,,, 
85,2082,85,303.6300049,50.25,953.8699951,7.989999771,9.991851807,-84.65322113,258.1000061,9,33,12,45,30.59375,,,, 
86,2082,86,306.2099915,50.25,953.5799561,7.96999979,9.991865158,-84.65322113,258.3999939,10,33,12,45,30.703125,,,, 
87,2082,87,308.5,50.25999832,953.3200073,7.96999979,9.991876602,-84.65322113,258.8999939,9,33,12,45,30.796875,,,, 
88,2082,88,311.0099792,50.25999832,953.0299683,7.96999979,9.991890907,-84.65322113,259.1999817,10,33,12,45,30.921875,,,, 
89,2083,89,314.2200012,50.23999786,952.6699829,7.96999979,9.991901398,-84.65322113,259.5,10,33,12,45,31,,,, 
90,2083,90,315.019989,50.25999832,952.5700073,7.96999979,9.991912842,-84.65322113,259.7999878,10,33,12,45,31.078125,,,, 
91,2083,91,317.3699951,50.25999832,952.3099976,7.96999979,9.991927147,-84.65319824,260.1000061,11,33,12,45,31.203125,,,, 
92,2083,92,318.4899902,50.25999832,952.1799927,7.96999979,9.991940498,-84.65319824,260.3999939,11,33,12,45,31.296875,,,, 
93,2083,93,319.75,50.25999832,952.039978,7.96999979,9.99195385,-84.65319824,260.6999817,11,33,12,45,31.390625,,,, 
94,2083,94,322.0599976,50.25999832,951.7699585,7.96999979,9.991967201,-84.65319824,261,11,33,12,45,31.5,,,, 
95,2083,95,323.1099854,50.25999832,951.6499634,7.96999979,9.991979599,-84.65319061,261.2999878,11,33,12,45,31.59375,,,, 
96,2083,96,323.8999939,50.25999832,951.5700073,7.96999979,9.99200058,-84.65316772,262.5,11,33,12,45,31.703125,,,, 
97,2083,97,326.9899902,50.25999832,951.2099609,7.96999979,9.992026329,-84.6531601,263.7999878,11,33,12,45,31.796875,,,, 
98,2084,98,328.1600037,50.27000046,951.0799561,7.96999979,9.992041588,-84.6531601,264.1000061,11,33,12,45,31.921875,,,, 
99,2084,99,329.5899963,50.27000046,950.9199829,7.96999979,9.992068291,-84.6531601,264.5,11,33,12,45,32.078125,,,, 
100,2084,100,329.6199951,50.25999832,950.9199829,7.96999979,9.992068291,-84.6531601,264.5,11,33,12,45,32.078125,,,, 
101,2084,101,331.2200012,50.25999832,950.7299805,7.96999979,9.992096901,-84.65313721,264.8999939,11,33,12,45,32.296875,,,, 
102,2084,102,331.7399902,50.27000046,950.6699829,7.96999979,9.992115974,-84.65313721,265.3999939,11,33,12,45,32.390625,,,, 
103,2084,103,332.3200073,50.27000046,950.6099854,7.96999979,9.992115974,-84.65313721,265.3999939,11,33,12,45,32.390625,,,, 
104,2084,104,334.0499878,50.25999832,950.4099731,7.96999979,9.992157936,-84.65309906,266.5,11,33,12,45,32.59375,,,, 
105,2084,105,334.4899902,50.25999832,950.3599854,7.96999979,9.992183685,-84.65309906,267.2999878,11,33,12,45,32.703125,,,, 
106,2084,106,334.6300049,50.27000046,950.3499756,7.96999979,9.992207527,-84.65306854,268.3999939,11,33,12,45,32.796875,,,, 
107,2085,107,335.2399902,50.25999832,950.2799683,7.960000038,9.992231369,-84.65303802,269.5,11,33,12,45,32.921875,,,, 
108,2085,108,335.5899963,50.27000046,950.2399902,7.96999979,9.992231369,-84.65303802,269.5,11,33,12,45,32.921875,,,, 
109,2085,109,335.9599915,50.27000046,950.1999512,7.96999979,9.992282867,-84.6530304,270.8999939,11,33,12,45,33.203125,,,, 
110,2085,110,335.5299988,50.27999878,950.2399902,7.96999979,9.992306709,-84.65299988,271.6999817,11,33,12,45,33.296875,,,, 
111,2085,111,336.0299988,50.27000046,950.1900024,7.96999979,9.99232769,-84.65299225,272.5,9,33,12,45,33.390625,,,, 
112,2085,112,336.3699951,50.25999832,950.1499634,7.96999979,9.992350578,-84.65297699,273.2999878,10,33,12,45,33.5,,,, 
113,2085,113,336,50.27000046,950.1900024,7.96999979,9.992371559,-84.65296173,274.1000061,12,33,12,45,33.59375,,,, 
114,2085,114,336.019989,50.25999832,950.1900024,7.96999979,9.99239254,-84.65294647,274.6999817,12,33,12,45,33.703125,,,, 
115,2085,115,336.3599854,50.25999832,950.1499634,7.96999979,9.992413521,-84.65293121,275.1000061,12,33,12,45,33.796875,,,, 
116,2085,116,335.4599915,50.27000046,950.25,7.96999979,9.992433548,-84.65293121,275.3999939,12,33,12,45,33.921875,,,, 
117,2086,117,335.519989,50.27000046,950.25,7.96999979,9.992462158,-84.6529007,277.7999878,12,33,12,45,34,,,, 
118,2086,118,335.519989,50.27000046,950.25,7.96999979,9.992483139,-84.6529007,279,12,33,12,45,34.078125,,,, 
119,2086,119,334.8800049,50.27000046,950.3200073,7.96999979,9.992499352,-84.65287781,279.2999878,12,33,12,45,34.203125,,,, 
120,2086,120,334.3299866,50.27000046,950.3800049,7.96999979,9.992521286,-84.65285492,279.7999878,12,33,12,45,34.296875,,,, 
121,2086,121,333.3399963,50.27000046,950.4899902,7.96999979,9.992521286,-84.65285492,279.7999878,12,33,12,45,34.296875,,,, 
122,2086,122,331.75,50.27999878,950.6699829,7.96999979,9.992556572,-84.65284729,280.1999817,12,33,12,45,34.5,,,, 
123,2086,123,330.8200073,50.27000046,950.7799683,7.96999979,9.992598534,-84.6528244,280.7999878,12,33,12,45,34.703125,,,, 
124,2086,124,329.5899963,50.27000046,950.9199829,7.96999979,9.992598534,-84.6528244,280.7999878,12,33,12,45,34.703125,,,, 
125,2086,125,329.519989,50.25999832,950.9299927,7.960000038,9.992658615,-84.65277863,286.3999939,12,33,12,45,34.921875,,,, 
126,2087,126,328.769989,50.25999832,951.0099487,7.96999979,0,0,0,0,33,12,45,35.078125,,,, 
127,2087,127,326.8299866,50.25999832,951.2299805,7.96999979,0,0,0,0,33,12,45,35.203125,,,, 
128,2087,128,325.3800049,50.27999878,951.3999634,7.96999979,0,0,0,0,33,12,45,35.296875,,,, 
129,2087,129,323.9799805,50.27000046,951.5599976,7.96999979,9.992739677,-84.65274811,288.1999817,3,33,12,45,35.390625,,,, 
130,2087,130,322.9299927,50.27000046,951.6799927,7.96999979,9.992739677,-84.65274811,288.1999817,3,33,12,45,35.390625,,,, 
131,2087,131,320.9499817,50.27000046,951.8999634,7.96999979,9.992778778,-84.65273285,291.2999878,9,33,12,45,35.5,,,, 
132,2087,132,319.1900024,50.2899971,952.0999756,7.96999979,9.99281311,-84.65270996,293.6000061,11,33,12,45,35.59375,,,, 
133,2087,133,316.7999878,50.27000046,952.3699951,7.96999979,9.993178368,-84.65254211,341.6000061,12,33,12,45,35.796875,,,, 
134,2087,134,317.0700073,50.27000046,952.3399658,7.96999979,9.993178368,-84.65254211,341.6000061,12,33,12,45,35.796875,,,, 
135,2088,135,315.1799927,50.2899971,952.5599976,7.96999979,9.993268967,-84.65246582,341.6000061,12,33,12,45,36,,,, 
136,2088,136,312.4599915,50.2899971,952.8699951,7.96999979,9.99329567,-84.6524353,341.1000061,12,33,12,45,36.078125,,,, 
137,2088,137,311.269989,50.2899971,953,7.96999979,9.993305206,-84.65242767,339.5,12,33,12,45,36.203125,,,, 
138,2088,138,308.5799866,50.27000046,953.3099976,7.96999979,9.993350983,-84.65245819,341.5,12,33,12,45,36.296875,,,, 
139,2088,139,305.9299927,50.27999878,953.6099854,7.96999979,9.99336338,-84.65245819,340,12,33,12,45,36.390625,,,, 
140,2088,140,303.2200012,50.2899971,953.9199829,7.96999979,9.993383408,-84.65246582,339.1000061,12,33,12,45,36.5,,,, 
141,2088,141,300.2599792,50.2899971,954.25,7.96999979,9.993425369,-84.65246582,348.7999878,12,33,12,45,36.59375,,,, 
142,2088,142,298.25,50.27999878,954.4799805,7.96999979,9.993447304,-84.65245819,360.2999878,12,33,12,45,36.703125,,,, 
143,2088,143,296.2099915,50.27000046,954.7199707,7.96999979,9.993463516,-84.65245819,367.6999817,12,33,12,45,36.796875,,,, 
144,2089,144,293.019989,50.27000046,955.0799561,7.96999979,9.993475914,-84.65245819,373.8999939,12,33,12,45,36.921875,,,, 
145,2089,145,289.6999817,50.27999878,955.4599609,7.96999979,9.993488312,-84.65245819,379.1999817,12,33,12,45,37,,,, 
146,2089,146,286.9499817,50.27000046,955.7699585,7.96999979,9.993508339,-84.6524353,385.6999817,12,33,12,45,37.203125,,,, 
147,2089,147,284.2099915,50.27999878,956.0799561,7.96999979,9.993519783,-84.65245819,389.5,12,33,12,45,37.296875,,,, 
148,2089,148,280.9299927,50.2899971,956.4599609,7.96999979,9.993533134,-84.65245819,393.6000061,12,33,12,45,37.390625,,,, 
149,2089,149,278.4299927,50.25999832,956.7399902,7.96999979,9.993540764,-84.65245819,400.2999878,12,33,12,45,37.5,,,, 
150,2089,150,274.9899902,50.27999878,957.1399536,7.96999979,9.993546486,-84.65245819,406.6000061,12,33,12,45,37.59375,,,, 
151,2089,151,278.9599915,50.27999878,956.6799927,7.960000038,9.993549347,-84.65245819,412.8999939,12,33,12,45,37.703125,,,, 
152,2089,152,287.7099915,50.2899971,955.6900024,7.960000038,9.993556976,-84.65245819,418.2999878,12,33,12,45,37.796875,,,, 
153,2089,153,289.6799927,50.2899971,955.4599609,7.960000038,9.993564606,-84.65245819,421.3999939,12,33,12,45,37.921875,,,, 
154,2090,154,295.4400024,50.2899971,954.7999878,7.960000038,9.993570328,-84.65245819,424.5,12,33,12,45,38,,,, 
155,2090,155,244.9899902,50.27000046,960.5700073,7.929999828,9.993577957,-84.6524353,426.5,12,33,12,45,38.078125,,,, 
156,2090,156,239.1100006,50.27000046,961.2399902,7.929999828,9.993588448,-84.6524353,427.5,12,33,12,45,38.203125,,,, 
157,2090,157,241.2299957,50.27000046,961,7.929999828,9.993601799,-84.6524353,428.2999878,12,33,12,45,38.296875,,,, 
158,2090,158,244.8399963,50.25999832,960.5799561,7.929999828,9.993626595,-84.6524353,429.3999939,12,33,12,45,38.5,,,, 
